,Nodes,Edges,Density,Avg_Clustering,Avg_Connectivity,Components,Exponent_Centrality,Exponent_Weight,Diameter,Radius,Avg_Shortest_Path,Frac_LCC
1936,431,4117,0.04442885663411213,0.7988710642590258,19.104408352668187,3,2.161757933016998,2.251092803540765,17,9,6.562081596564355,0.877030162412993
1937,450,4334,0.042900272209849044,0.8022750101553242,19.262222222222128,7,2.185205870555192,2.3011704342514747,9,5,4.085889720036062,0.6377777777777778
1938,434,4240,0.04512510509679548,0.8007038897360743,19.539170506912424,4,2.139568496072553,2.3308901886704874,9,5,4.505663281009541,0.8317972350230415
1939,467,4902,0.045050592311439104,0.7756257114225897,20.99357601713061,2,2.064512711264346,2.3661063603736894,9,5,4.1237002663916815,0.9250535331905781
1940,451,4487,0.044217787632421776,0.7999416082022027,19.898004434589758,5,2.1236446629243364,2.301592555856721,8,5,3.720047037000232,0.7716186252771619
1941,476,4821,0.04264484741264927,0.7904565926189107,20.256302521008397,2,2.115009351562062,2.3104269360602467,10,6,4.620744461668269,0.9495798319327731
1942,451,4421,0.04356738112835674,0.8100665659287835,19.605321507760525,6,2.1230905050378333,2.36773234123289,12,6,4.996281709973378,0.6696230598669624
1943,457,4616,0.044301124803255404,0.7866908449973443,20.201312910284532,3,2.0972793701796038,2.405953345328273,9,5,4.302582145625857,0.8971553610503282
1944,462,4549,0.04271722492980627,0.8141305803333583,19.692640692640605,5,2.1265629038008287,2.358146815884138,11,6,4.686660471403227,0.577922077922078
1945,482,4999,0.0431241966511676,0.7905547946355769,20.742738589211594,3,2.0727192761302358,2.458104080294887,11,6,4.519980856664274,0.8278008298755186
1946,541,5876,0.04022728828643801,0.7836033954881071,21.72273567467655,2,2.0393860399694255,3.9416141888834106,9,5,4.259056770488182,0.9316081330868762
1947,464,4657,0.043354807477470766,0.8001198421634694,20.07327586206895,2,2.1010078002010015,2.2474939963024543,14,7,5.861083702475175,0.9418103448275862
1948,450,4458,0.04412769116555308,0.8071199257484173,19.813333333333247,4,2.1367175581707563,2.441283741194071,11,6,5.0179777277573745,0.8177777777777778
1949,452,4742,0.04652394874713027,0.793272052137706,20.98230088495575,4,2.052770500011503,2.6703652547233308,9,5,4.081183600713013,0.8296460176991151
1950,458,4606,0.044012116231737265,0.7886460633684699,20.113537117903924,2,2.128298533210586,2.4295732942907455,9,5,4.580224426736055,0.9388646288209607
1951,480,5341,0.04645963813500348,0.7574528575182057,22.254166666666677,1,1.964502681033729,2.8431230075698126,10,5,4.295850730688935,1.0
1952,485,5556,0.047337479764846216,0.758086404336588,22.91134020618555,1,1.9910669935947454,2.575747245032386,8,4,3.836065434097299,1.0
1953,456,4702,0.04532485058800848,0.787965142883625,20.622807017543796,2,2.0828868963010096,2.320195525975522,12,6,5.019957892927731,0.9473684210526315
1954,454,4528,0.04403341404829283,0.7980609461795228,19.947136563876622,6,2.1105972235645707,2.398513499461313,9,5,4.068344960064706,0.6938325991189427
1955,497,5302,0.04301616148503927,0.7820545233137004,21.336016096579474,1,2.0679221547993043,2.469360487554513,14,7,5.414624845849289,1.0
1956,474,5061,0.04514678727219204,0.7839432164754501,21.354430379746812,4,2.0551578402193007,2.486323213972181,8,4,3.5608901515151516,0.8122362869198312
1957,473,4967,0.04449600458666284,0.805246326634241,21.00211416490487,2,2.0573313918638214,2.627847058684111,15,8,5.858477989168171,0.8033826638477801
1958,482,5253,0.04531534407053079,0.7869450675434246,21.796680497925312,2,2.0199459100123174,2.55778061029402,8,5,4.15038378937321,0.9315352697095436
1959,470,5174,0.04694460826566257,0.7776089859354104,22.017021276595745,1,2.0164487360801253,2.65770462015238,8,5,3.833670553010026,1.0
1960,464,5028,0.046808669099575484,0.7745159706209378,21.672413793103438,1,2.0265891024373914,2.6155208747767213,10,5,4.0160869889029565,1.0
1961,527,5757,0.041536496850672074,0.7800166060678496,21.84819734345353,2,2.020380119820027,2.597117569641111,10,5,3.9293835300962403,0.9449715370018975
1962,588,6167,0.03573456639896163,0.7917386917612721,20.976190476190435,3,2.055139471454428,2.48253638115804,10,6,4.450125646404021,0.9149659863945578
1963,578,6040,0.0362212373990273,0.8019213623871905,20.89965397923872,3,2.081496970531613,2.67215083054837,11,6,4.510559193196357,0.8927335640138409
